,ArticleId,Text,Category,num_of_tokens
28,1527,uk will stand firm on eu rebate  britain s £3bn eu rebate is not up for renegotiation at next week s european council summit  jack straw said.  the foreign secretary told mps the rebate  secured by margaret thatcher in 1984  was  entirely justified . new european commission president jose manuel barroso has suggested the cash could be shared out among net contributors to the eu budget. mr straw acknowledged some countries in the newly enlarged 25 nation eu still had to  see the light  on the rebate.  but the foreign secretary told the commons foreign affairs committee:  our position is very clear: it is entirely justified and it is not for negotiation.  he added that he did not think there would be a political price to pay for the uk s stance - britain contributed more and received less than other eu states. the two-day european council summit in brussels begins on 16 december and is widely expected to mark the beginning of a lengthy negotiating period over the eu s budget for 2007-13. the wrangling could stretch into 2005  even 2006.  the uk  france  germany  austria  the netherlands and sweden want the eu budget to be capped at 1% of member states  combined national incomes - the commission wants it to be 1.26%. mr straw said the eu commission s proposal would mean a 35% hike in the budget.  i don t know of any national government thinking of increasing its budget by that amount   he added. the foreign secretary said he hoped the talks next week could produce a date in 2005 for the beginning of negotiations with turkey about possible eu membership although that there would be no prospect of a date for joining for some time.,politics,370
1375,2180,musicians to tackle us red tape musicians  groups are to tackle us visa regulations which are blamed for hindering british acts  chances of succeeding across the atlantic.  a singer hoping to perform in the us can expect to pay $1 300 (£680) simply for obtaining a visa. groups including the musicians  union are calling for an end to the  raw deal  faced by british performers. us acts are not faced with comparable expense and bureaucracy when visiting the uk for promotional purposes.  nigel mccune from the musicians  union said british musicians are  disadvantaged  compared to their us counterparts. a sponsor has to make a petition on their behalf  which is a form amounting to nearly 30 pages  while musicians face tougher regulations than athletes and journalists.  if you make a mistake on your form  you risk a five-year ban and thus the ability to further your career   says mr mccune.   the us is the world s biggest music market  which means something has to be done about the creaky bureaucracy   says mr mccune.  the current situation is preventing british acts from maintaining momentum and developing in the us   he added.  the musicians  union stance is being endorsed by the music managers  forum (mmf)  who say british artists face  an uphill struggle  to succeed in the us  thanks to the tough visa requirements  which are also seen as impractical. the mmf s general secretary james seller said:  imagine if you were an orchestra from the orkneys  every member would have to travel to london to have their visas processed.    the us market is seen as the holy grail and one of the benchmarks of success  and we re still going to fight to get in there.  it s still very important  but there are other markets like europe  india and china   added mr seller. a department for media  culture and sport spokeswoman said:  we re aware that people are experiencing problems  and are working with the us embassy and record industry to see what we can do about it.  a us embassy spokesman said:  we are aware that entertainers require visas for time-specific visas and are doing everything we can to process those applications speedily.   we are aware of the importance of cultural exchange and we will do our best to facilitate that   he added.,entertainment,467
563,1526,tories attack eu asylum moves david blunkett has been accused of using the  politics of confusion  to disguise new eu immigration measures.  tory spokesman david davis told mps the uk was losing its power of veto over who was allowed to come to britain. the eu has opted to adopt qualified majority voting in this area - previously measures needed unanimous agreement from all member states. mr blunkett told mps the uk would still be able to reject proposals on immigration it did not agree with.  he argued closer co-operation with europe over asylum and immigration was crucial to controlling the flow of people into the uk.  if we don t like what other eu countries do on immigration and nationality we have the right to opt-in or out to suit the british people   he said. the home secretary was responding to an emergency question from his tory opposite number mr davis.  the government is employing the politics of confusion - i think  deliberately   argued mr davis.  by confusing the country it hopes no one will notice the disappearance of the asylum and immigration veto.  on monday tony blair insisted closer co-operation did not mean losing control of british borders. he said an enlarged 25-member eu needs a streamlined decision making process. mr davis said once britain had opted into policies then it could not opt out - leaving the uk open to unfavourable interpretations of what those policies actually meant.  he accused the government of being  pathetic  when it came to its efforts over immigration and asylum and of  surrendering  on the issue. and he asked why the government was agreeing to the measure on asylum and immigration now when the whole issue was part of the eu constitution  which voters in the uk had been promised a referendum over. mr blair told his monthly news conference britain had the  best of both worlds  and would keep the veto.  there is no question of britain giving up our veto on our border controls   he said.  with the treaty of amsterdam seven years ago  we secured the absolute right to opt in to any of the asylum and immigration provisions that we wanted to in europe.  mr blunkett met his eu counterparts in luxembourg on monday to consider proposals aimed at streamlining decision making on the issue.  the 25 member-states are expected to scrap the requirement for unanimous agreement on immigration policy  in favour of the qualified majority voting (qmv) system. under this scheme larger states such as britain are expected to have more power than the smaller eu states. britain is expected to retain an  opt-in  right which will allow it to ignore any measures it disagrees with. liberal democrat spokesman mark oaten called the change pragmatic and argued it gave a better chance of producing a european asylum solution.  if we don t work together it means some countries can ignore their responsibilities at the expense of their neighbours   said mr oaten.  the liberal democrats have long argued that britain should be a safe haven for asylum seekers but it s right that we don t do this in isolation.,politics,651
540,647,gritty return for prince of persia still basking in the relatively recent glory of last year s sands of time  the dashing prince of persia is back in warrior within  and in a more bellicose mood than last time.  this sequel gives the franchise a grim  gritty new look and ramps up the action and violence. as before  you control the super-athletic prince from a third-person perspective. the time-travelling plot hinges on the dahaka  an all-consuming monster pursuing our hero through the ages. the only way to dispel it is to turn back the clock again and kill the sultry empress of time before she ever creates the sands of time that caused the great beast s creation.  studiously structured though this back story is  everything boils down to old-fashioned fantasy gameplay which proves  on the whole  as dependable as it needs to be. ever since the series  then-groundbreaking beginnings on the commodore amiga  prince of persia has always been about meticulously-animated acrobatic moves  that provide an energetic blend of leaping preposterously between pieces of scenery and lopping off enemies  body parts.  those flashy moves are back in full evidence  and tremendous fun to perform and perfect. combining them at speed is the best fun  although getting a handle of doing so takes practice and plenty of skill. until you reach that point  it is a haphazard business. all too often  you will perform a stunning triple somersault  pirouette off a wall  knock out three enemies in one glorious swoop  before plummeting purposefully over a cliff to your doom. that in turn can mean getting set back an annoyingly long distance  for you can only save at the fountains dotted along the path. the expected fiendish puzzles are all present and correct  but combat is what is really been stepped up  and there is more of it than before. the game s developers have combined acrobatic flair with gruesome slaying techniques in some wonderfully imaginative ways. slicing foes down the middle is one particularly entertaining method of seeing them off.  warrior within is a very slick package; the game s intro movie is so phenomenally good that it actually does an ultimate disservice once the game itself commences.  it is on a par with the jaw-dropping opening sequence of onimusha 3 earlier this year  and when the game begins  it is something of an anti-climax. that said  the graphics are excellent  and indeed among the most striking and satisfying elements of the game. the music is probably the worst aspect - a merit-free heavy metal soundtrack that you will swiftly want to turn off. there is something strangely unsatisfying about the game. perhaps precisely because its graphics and mechanics are so good that the story and overall experience are not quite as engaging as they should be. somehow it adds up to less than the sum of its parts  and is more technically impressive than it is outright enjoyable. but that is not to say warrior within is anything other than a superb adventure that most will thoroughly enjoy. it just does not quite take the character to the new heights that might have been hoped for.,tech,658
522,1007,winemaker rejects foster s offer australian winemaker southcorp has rejected a takeover offer worth 3.1bn australian dollars ($2.3bn; £1.8bn) from brewing giant foster s group.  southcorp  whose brands include penfolds  rosemount and lindemans  dismissed the offer as inadequate. the two companies held four days of talks after foster s bought an 18.8% stake in southcorp on 13 january. a merger would create a global player with worldwide annual sales of 39m cases and revenues of a$2.6bn.  southcorp said foster s a$4.17-a-share takeover proposal offered a  excellent strategic fit  but undervalued the company.  southcorp s board has informed foster s that it is not prepared to recommend the offer as it does not adequately reflect the strategic value of the company   said southcorp chairman brian finn.  southcorp said foster s takeover offer was  opportunistic . however  it said that the offer may represent an  opening bid   opening up the possibility of foster s returning with an improved offer.  foster s said a combination of the two companies would create a global player with an  unrivalled  collection of premium wine brands. despite being best known for brewing foster s lager  foster s is already one of australia s largest wine producers  owning the beringer and wolf blass brands among others.  the combination of foster s and southcorp will transform the global wine industry and significantly enhance australia s competitive position on the global stage   said trevor o hoy  foster s chief executive officer. foster s spent a$584m on buying an 18.8% stake in southcorp from the oatley family  which founded the rosemount estates business and later merged it into southcorp. shares in both companies were suspended while the two held talks about a deal. southcorp s shares rose 12% to a$4.76 on news of the offer but foster s shares fell 3.7% to a$5.44.,business,430
702,32,firefox browser takes on microsoft microsoft s internet explorer has a serious rival in the long-awaited firefox 1.0 web browser  which has just been released.  few people get excited when some new software is released  especially when the program is not a game or a music or movie player. but the release of the first full version of firefox has managed to drum up a respectable amount of pre-launch fervour. fans of the software have banded together to raise cash to pay for an advert in the new york times announcing that version 1.0 of the browser is available. the release of firefox 1.0 on 9 november might even cause a few heads to turn at microsoft because the program is steadily winning people away from the software giant s internet explorer browser.  firefox has been created by the mozilla foundation which was started by former browser maker netscape back in 1998. much of the development work done since then has gone into firefox which made its first appearance under this name in february. earlier incarnations  but which had the same core technology  were called phoenix and firebird. since then the software has been gaining praise and converts  not least because of the large number of security problems that have come to light in microsoft s internet explorer. rivals to ie got a boost in late june when two us computer security organisations warned people to avoid the microsoft program to avoid falling victim to a serious vulnerability.  internet monitoring firm websidestory has charted the growing population of people using the firefox browser and says it is responsible for slowly eroding the stranglehold of ie. before july this year  according to websidestory  internet explorer was used by about 95% of web surfers. that figure had remained static for years. in july the ie using population dropped to 94.7% and by the end of october stood at 92.9%. the mozilla foundation claims that firefox has been downloaded almost eight million times and has publicly said it would be happy to garner 10% of the windows- using  net-browsing population. firefox is proving popular because  at the moment  it has far fewer security holes than internet explorer and has some innovations lacking in microsoft s program. for instance  firefox allows the pages of different websites to be arranged as tabs so users can switch easily between them. it blocks pop-ups  has a neat way of finding text on a page and lets you search through the pages you have browsed.  one of the most powerful features of firefox is the many hundreds of extras  or extensions  produced for it. the mozilla foundation is an open source organisation which means that the creators of the browser are happy for others to play around with the core code for the program. this has resulted in many different add-ons or extensions for the browser which now include everything from a version of the familiar google toolbar to a homeland security monitor that keep users aware of current threat levels. firefox  which used to be called firebird and before that phoenix  also has a growing number of vocal net-based fans. a campaign co-ordinated by the spread firefox website attempted to raise the $50 000 needed for a full page advert in the new york times. the campaign set itself a target of recruiting 2500 volunteers. ten days in to the campaign 10 000 people had signed up and now about $250 000 has been raised. the ad is due to run sometime in a three-week period in late november/early december. the surplus cash will be used to help keep the mozilla foundation running. microsoft is facing a growing challenge to ie s hold on the web using population. from alternative browsers such as opera  safari  amaya and even netscape.,tech,813
1035,767,applegate s charity show closes us musical sweet charity has cancelled its run on broadway after poor ticket sales for its early shows.  star christina applegate had to pull out of pre-broadway performances earlier this month with a broken foot. producer barry weissler said he was  deeply proud  of the show  but said the decision to close it was  painful but fiscally responsible . applegate  who starred in tv comedy married with children  had been hoping to make her broadway debut in the show. the 33-year-old injured herself while performing in chicago  and had been hoping to recover in time for its official new york opening on 21 april. she had received mixed reviews for performances in minneapolis and chicago. previews of the $7.5m (£4m) show were due to begin on 4 april. sweet charity tells the story of charity hope valentine  a dancer who always falls in love with the wrong man. it was first performed on broadway in 1966 with gwen verdon in the title role  while shirley maclaine starred in the 1969 film version.,entertainment,236
845,1203,what now for british tennis  tim henman s decision to quit davis cup tennis has left the british team with a gargantuan void to fill.  the world number seven is tied for fourth among his countrymen for wins in the history of the tournament (he has 36 from his 50 rubbers). and great britain s last davis cup win without henman came against slovenia as far back as 1996. worse could follow  according to former british team member chris bailey. bailey told bbc sport:  after tim s announcement  i doubt greg rusedski will be that far behind him.  but without their top two  where does that leave british ambitions in the sport s premier team event  captain jeremy bates has singled out alex bogdanovic and andrew murray as potential replacements. the yugoslavian-born bogdanovic  though  is 184 places below henman in the world rankings and has played just two cup ties - winning one and losing the other.  murray  on the other hand  is 407th in the current atp entry list and yet to make his cup debut. but bailey does see some hope for the future. he said:  now we ve dropped down to the euro-africa zone  the time was right for him to step down and let the young guys come to the fore.  britain s next opponents  israel  are hardly likely to be quaking in their boots ahead of the 4-6 march match against a likely trio of bogdanovic  murray and the 187th-ranked arvind parmar. bailey said:  it will be tough for gb to move up  but there comes a time when our young players have to step up. this was always going to be inevitable with tim and greg s growing years.  i m confident about the future. i wouldn t lay money on us getting back into the world group next year  but i d imagine in five years time we ll be competing for the major honours.  of those lining up to replace henman  the 17-year-old murray  with four futures titles under his belt last year  looks the best long-term bet.  murray is the one that looks likeliest to take over tim s mantle   said bailey.  he has an enormous amount of self-confidence  judging by what he s said in the past.  bogdanovic  three years murray s senior  has had a more troubled time under britain s davis cup umbrella.  while murray has been marked out as britain s golden boy  bogdanovic was warned by the lawn tennis association for a lack of drive at the end of 2003. and bailey said:  despite that  alex is clearly talented as well  while arvind is another contender.  they re among the guys who have experienced the intensity of davis cup tennis - whether as players or on the sidelines.  the lta has always done an exceptional job of ensuring that.  now they ll finally get to play regularly in the cauldron of the cup. and i m confident that will springboard team gb to greater success.,sport,671
422,544,economy  strong  in election year uk businesses are set to prosper during the next few months - but this could trigger more interest rate rises  according to a report.  optimism is at its highest since 1997 and business will reap the benefits of a continuing rise in public spending  say researchers at bdo stoy hayward. the bank of england is expected to keep rates on hold this week - but they could go up later in the year. rates are likely to rise after the anticipated general election in may. the bdo optimism index - a leading indicator of gdp growth two quarters ahead edged up in january to 102.5  from 102.2 in october. the rise is due  in part  to an increase in public spending and increased merger and acquisition activity.  the only thing blighting business optimism this year will be uncertainties associated with the general election  bdo said. its bdo s output index - which predicts gdp movements a quarter in advance - remained at 100.8 for january  implying gdp growth at 2.9% in the second quarter of 2005. however  the output index is being held back by recent interest rate rises  sterling s strength against the dollar and high oil prices  the group noted. its inflation index  which has risen continuously over the last 8 months  climbed to 110.0 in january from 108.0 in october last year.  the uk is looking strong going into the general election  but businesses need to prepare themselves for a jolt ahead as the bank of england reacts to growth and inflationary pressures   said peter hemington  partner at bdo stoy hayward.  growth will probably slow by the end of 2005 and it is likely that we will see higher interest rates or a sharp drop in demand for products and services.,business,377
1150,824,rank  set to sell off film unit  leisure group rank could unveil plans to demerge its film services unit and sell its media business  reports claim.  rank  formerly famous for the carry on series  will expose the shake-up at the announcement of its results on friday  the sunday telegraph reported. advisors goldman sachs are understood to have valued its demerged deluxe film unit at £300m  the report added. speculation of a possible shake-up has mounted since rank announced a study into a possible demerger in september. since mike smith s appointment as chief executive in 1999  the group has focused on fewer businesses and embarked on a major cost-cutting programme which has seen it dispose of a number of businesses  including the odeon cinema chain and the pinewood studios. the move left the group with three core divisions: gaming  hard rock and deluxe films  which provides technical services to hollywood studios.  rank now aims to concentrate on its gaming  bars and hotels business  including extending its hard rock brand to its casinos - trials of which have been a success. it also owns deluxe media  which makes and distributes dvds and videos. however  that business is seen as less successful. last year it made profits of £21.5m on a turnover of £392.1m and experts suggest its success in moving to dvds from vhs video could make it an attractive target for a private equity buyer. a spokesman for the firm refused to comment on the reports  but said any results from the demerger study were likely to be set out when it unveiled its results on friday. analysts predict the firm is likely to report a slight drop in annual pre-tax profits to £170m from £194m last year. formed in the 1940s the firm was a leading uk film producer and cinema owner for many years. it has now diversified into a range of other leisure activities - mainly in the uk - including hotels  roadside service areas and holiday centres. it now owns 34 grosvenor casinos  the mecca bingo chain and more than 100 hard rock cafes in 38 countries.,business,442
